Name,Nick Name,Status,Definition,Acronym,Resources,Related Terms,Synonyms,Stewards,Experts,Parent Term Name,IsDefinitionRichText,Term Template Names
Domestic_Insurer,Domestic Insurer ,Approved,an insurance company that is domiciled and licensed in the state in which it sells insurance.,,,,,,,,,
Dual_Interest,Dual Interest,Approved,"insurance that protects the creditor's and the debtor's interest in the collateral securing the debtor's credit transaction. ""Dual Interest"" includes insurance commonly referred to as ""Limited Dual Interest.""",,,,,,,,,
Dwelling_Property_Personal_Liability,Dwelling Property/Personal Liability,Approved,"a special form of package policy composed of dwelling fire and/or allied lines, and personal liability insurance.",,,,,,,,,
Early_warning_system,Early warning system,Approved,a system designed by insurance industry regulators of identifying practices and risk-related trends that contribute to systemic risk by measuring insurer' financial stability.,,,,,,,,,
Earned_Premium,Earned Premium,Approved,"portion of insured's prepaid premium allocated to the insurance company's loss experience, expenses, and profit year- to -date.",,,,,,,,,
Earthquake,Earthquake,Approved,"property coverages for losses resulting from a sudden trembling or shaking of the earth, including that caused by volcanic eruption. Excluded are losses resulting from fire, explosion, flood or tidal wave following the covered event.",,,,,,,,,
EBNR_Earned_but_not_reported,EBNR - Earned but not reported,Approved,premium amount insurer reasonably expects to receive for which contracts are not yet final and exact amounts are not definite.,,,,,,,,,
EDP_Policies,EDP Policies,Approved,coverage to protect against losses arising out of damage to or destruction of electronic data processing equipment and its software.,,,,,,,,,
Effective_Date,Effective Date ,Approved,date at which an insurance policy goes into force.,,,,,,,,,
Elevators_and_Escalators_Liability,Elevators and Escalators Liability,Approved,"liability coverage for bodily injury or property damage arising from the use of elevators or escalators operated, maintained or controlled by the insured.",,,,,,,,,
Employee_Benefit_Liability,Employee Benefit Liability,Approved,"liability protection for an employer for claims arising from provisions in an employee benefit insurance plan provided for the economic and social welfare of employees. Examples of items covered are pension plans, group life insurance, group health insurance, group disability income insurance, and accidental death and dismemberment.",,,,,,,,,
Employee_Retirement_Income_Security_Act_of_1974_ERISA,Employee Retirement Income Security Act of 1974 (ERISA),Approved,"a federal statute governing standards for private pension plans, including vesting requirements, funding mechanisms, and plan design.",,,,,,,,,
Employers_Liability,Employers Liability,Approved,"employers' liability coverage for the legal liability of employers arising out of injuries to employees. This code should be used when coverage is issued as an endorsement, or as part of a statutory workers' compensation policy.",,,,,,,,,
Employment_Practices_Liability_Coverage,Employment Practices Liability Coverage,Approved,"liability insurance for employers providing coverage for wrongful termination, discrimination, or sexual harassment of the insured's current or former employees.",,,,,,,,,
Encumbrance,Encumbrance,Approved,outstanding mortgages or other debt related to real estate and any unpaid accrued acquisition or construction costs.,,,,,,,,,
Endorsement,Endorsement,Approved,an amendment or rider to a policy adjusting the coverages and taking precedence over the general contract.,,,,,,,,,
Enrollment,Enrollment,Approved,"The total number of plans, not the total number of covered lives, providing coverage to the enrollee and their dependents.",,,,,,,,,
Environmental_Impairment_Liability_EIL,Environmental Impairment Liability (EIL) ,Approved,coverage for negligence or omission resulting in pollution or environmental contamination.,,,,,,,,,
Environmental_Pollution_Liability,Environmental Pollution Liability,Approved,"liability coverage of an insured to persons who have incurred bodily injury or property damage from acids, fumes, smoke, toxic chemicals, waste materials or other pollutants.",,,,,,,,,
Equity_Indexed_Annuity,Equity Indexed Annuity,Approved,"a fixed annuity that earns interest or provides benefits that are linked to an external reference or equity index, subject to a minimum guarantee.",,,,,,,,,
Errors_and_Omissions_Liability_|_Professional_Liability_other_than_Medical,Errors and Omissions Liability | Professional Liability other than Medical,Approved,"liability coverage of a professional or quasi professional insured to persons who have incurred bodily injury or property damage, or who have sustained any loss from omissions arising from the performance of services for others, errors in judgment, breaches of duty, or negligent or wrongful acts in business conduct.",,,,,,,,,
Event_Cancellation,Event Cancellation,Approved,coverage for financial loss because of the cancellation or postponement of a specific event due to weather or other unexpected cause beyond the control of the insured.,,,,,,,,,
Excess_and_Umbrella_Liability,Excess and Umbrella Liability,Approved,liability coverage of an insured above a specific amount set forth in a basic policy issued by the primary insurer; or a self insurer for losses over a stated amount; or an insured or self insurer for known or unknown gaps in basic coverages or self insured retentions.,,,,,,,,,
Excess_of_Loss_Reinsurance,Excess of Loss Reinsurance,Approved,loss sharing mechanism where an insurer pays all claims up to a specified amount and a reinsurance company pays any claims in excess of stated amount.,,,,,,,,,
Excess_Workers_Compensation,Excess Workers' Compensation,Approved,either specific and/or aggregate excess workers' compensation insurance written above an attachment point or self-insured retention.,,,,,,,,,
Expense_Ratio,Expense Ratio,Approved,percentage of premium income used to attain and service policies. Derived by subtracting related expenses from incurred losses and dividing by written premiums.,,,,,,,,,
Experience_Rating,Experience Rating ,Approved,"rating system where each group is rated entirely on the basis of its own expected claims in the coming period, with retrospective adjustments for prior periods. This method is prohibited under the conditions for federal qualification.",,,,,,,,,
Exposure,Exposure,Approved,risk of possible loss.,,,,,,,,,
Extra_Expense_Insurance,Extra Expense Insurance,Approved,a type of property insurance for extraordinary expenses related to business interruption such as a back-up generator in case of power failure.,,,,,,,,,
Face_Amount,Face Amount,Approved,the value of a policy to be provided upon maturity date or death.,,,,,,,,,
Facultative_Reinsurance,Facultative Reinsurance,Approved,reinsurance for a specific policy for which terms can be negotiated by the original insurer and reinsurer.,,,,,,,,,
FAIR_Plan_Fair_Access_to_Insurance_Requirements,FAIR Plan - Fair Access to Insurance Requirements,Approved,state pools designed to provide insurance to property owners who are unable to obtain property insurance through conventional means.,,,,,,,,,
Fair_Value,Fair Value ,Approved,"the amount at which an asset (or liability) could be bought (or incurred) or sold (or settled) in a current transaction between willing parties, that is, other than in a forced or liquidation sale. Quoted market prices in active markets are the best evidence of fair value and shall be used as the basis for the measurement, if available. If a quoted market price is available, the fair value is the product of the number of trading units times market price.",,,,,,,,,
Farmowners_Insurance,Farmowners Insurance,Approved,"farmowners insurance sold for personal, family or household purposes. This package policy is similar to a homeowners policy, in that it has been developed for farms and ranches and includes both property and liability coverage for personal and business losses. Coverage includes farm dwellings and their contents, barns, stables, other farm structures and farm inland marine, such as mobile equipment and livestock.",,,,,,,,,
Federal_Flood_Insurance,Federal Flood Insurance,Approved,"coverage for qualifying residents and businesses in flood prone regions through the National Flood Insurance Act, a federally subsidized flood insurance program enacted in 1968.",,,,,,,,,
Federally_Reinsured_Crop,Federally Reinsured Crop,Approved,"crop insurance coverage that is either wholly or in part reinsured by the Federal Crop Insurance Corporation (FCIC) under the Standard Reinsurance Agreement (SRA). This includes the following products: Multiple Peril Crop Insurance (MPCI); Catastrophic Insurance, Crop Revenue Coverage (CRC); Income Protection and Revenue Assurance.",,,,,,,,,
Fees_Payable,Fees Payable,Approved,fees incurred but not yet paid.,,,,,,,,,
FEMA_Federal_Emergency_Management_Agency,FEMA - Federal Emergency Management Agency,Approved,"an independent agency, tasked with responding to, planning for, mitigating and recovery efforts of natural disasters.",,,,,,,,,
Fidelity,Fidelity,Approved,"a bond or policy covering an employer's loss resulting from an employee's dishonest act (e.g., loss of cash, securities, valuables, etc.).",,,,,,,,,
Financial_Guaranty,Financial Guaranty,Approved,"a surety bond, insurance policy, or an indemnity contract (when issued by an insurer), or similar guaranty types under which loss is payable upon proof of occurrence of financial loss to an insured claimant, obligee or indemnitee as a result of failure to perform a financial obligation or any other permissible product that is defined as or determined to be financial guaranty insurance.",,,,,,,,,
Financial_Reporting,Financial Reporting ,Approved,insurance companies are required to maintain records and file annual and quarterly financial statements with regulators in accordance with statutory accounting principles (SAP). Statutory rules also govern how insurers should establish reserves for invested assets and claims and the conditions under which they can claim credit for reinsurance ceded.,,,,,,,,,
Financial_Responsibility_Law,Financial Responsibility Law,Approved,a statute requiring motorists to show capacity to pay for automobile-related losses.,,,,,,,,,
Financial_Statement,Financial Statement ,Approved,"balance sheet and profit and loss statement of an insurance company. This statement is used by the NAIC, and by State Insurance Commissioners to regulate an insurance company according to reserve requirements, assets, and other liabilities.",,,,,,,,,
Fire_Legal_Liability,Fire Legal Liability,Approved,"coverage for property loss liability as the result of separate negligent acts and/or omissions of the insured that allows a spreading fire to cause bodily injury or property damage of others. An example is a tenant who, while occupying another party's property, through negligence causes fire damage to the property.",,,,,,,,,
Fire,Fire,Approved,"coverage protecting the insured against the loss to real or personal property from damage caused by the peril of fire or lightning, including business interruption, loss of rents, etc.",,,,,,,,,
Flood,Flood,Approved,"coverage protecting the insured against loss or damage to real or personal property from flood. (Note: If coverage for flood is offered as an additional peril on a property insurance policy, file it under the applicable property insurance filing code.)",,,,,,,,,
Foreign_Insurer,Foreign Insurer,Approved,an insurance company selling policies in a state other than the state in which they are incorporated or domiciled.,,,,,,,,,
Foreign_Investment,Foreign Investment,Approved,"an investment in a foreign jurisdiction, or an investment in a person, real estate or asset domiciled in a foreign jurisdiction. An investment shall not be deemed to be foreign if the issuing person, qualified primary credits source or qualified guarantor is a domestic jurisdiction or a person domiciled in a domestic jurisdiction, unless: a) The issuing person is a shell business entity; and b) The investment is not assumed, accepted, guaranteed or insured or otherwise backed by a domestic jurisdiction or a person, that is not a shell business entity, domiciled in a domestic jurisdiction.",,,,,,,,,
Foreign_jurisdiction,Foreign jurisdiction,Approved,"a jurisdiction outside of the United States, Canada or any province or political subdivision of the foregoing.",,,,,,,,,
Fraternal_Insurance,Fraternal Insurance,Approved,a form of group coverage or disability insurance available to members of a fraternal organization.,,,,,,,,,
Fronting,Fronting,Approved,"an arrangement in which a primary insurer acts as the insurer of record by issuing a policy, but then passes the entire risk to a reinsurer in exchange for a commission. Often, the fronting insurer is licensed to do business in a state or country where the risk is located, but the reinsurer is not.",,,,,,,,,
Generally_Accepted_Accounting_Principles_GAAP,Generally Accepted Accounting Principles (GAAP),Approved,"an aggregate of the accounting standards, principles and best practices for the preparation of financial statements allowing for consistency in reporting.",,,,,,,,,
Goodwill,Goodwill,Approved,the difference between the cost of acquiring the entity and the reporting entity's share of the book value of the acquired entity.,,,,,,,,,
Gramm_Leach_Bliley_Act_GLBA,Gramm-Leach Bliley Act (GLBA),Approved,"act, repealing Glass-Steagal Act of 1933, allows consolidation of commercial banks, investment institutions and insurance companies. Established a framework of responsibilities of federal and state regulators for these financial industries. It permits financial services companies to merge and engage in a variety of new business activities, including insurance, while attempting to address the regulatory issues raised by such combinations.",,,,,,,,,
Gross_Paid_in_and_Contributed_Surplus,Gross Paid-in and Contributed Surplus ,Approved,amount of capital received in excess of the par value of the stock issued.,,,,,,,,,
Gross_Premium,Gross Premium,Approved,"the net premium for insurance plus commissions, operating and miscellaneous commissions. For life insurance, this is the premium including dividends.",,,,,,,,,
Group_Accident_and_Health,Group Accident and Health,Approved,"coverage written on a group basis (e.g., employees of a single employer and their dependents) that pays scheduled benefits or medical expenses caused by disease, accidental injury or accidental death. Excludes amounts attributable to uninsured accidents and health plans and the uninsured portion of partially insured accident and health plans.",,,,,,,,,
Group_Annuities_Deferred_Non_Variable_and_Variable,Group Annuities – Deferred Non- Variable and Variable,Approved,"an annuity contract that provides an accumulation based on both (1) funds that accumulate based on a guaranteed crediting interest rates or additional interest rate applied to designated considerations, and (2) funds where the accumulation vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. The contract provides for the initiation of payments at some designated future date.",,,,,,,,,
Group_Annuities_Deferred_Variable,Group Annuities – Deferred Variable,Approved,an annuity contract that provides an accumulation based fund where the accumulation varies in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. Must include at least one option to have the accumulation vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder and may include at least one option to have the series of payments vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. This annuity contract provides for the initiation of payments at some designated future date.,,,,,,,,,
Group_Annuities_Immediate_Non_Variable_and_Variable,Group Annuities – Immediate Non-Variable and Variable,Approved,"an annuity contract that provides an accumulation based on both (1) funds that accumulate based on a guaranteed crediting interest rates or additional interest rate applied to designated considerations, and (2) funds where the accumulation vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. The contract provides for the initiation of payments at some interval that may vary, however the annuity payouts must begin within 13 months.",,,,,,,,,
Group_Annuities_Immediate_Variable,Group Annuities – Immediate Variable,Approved,"an annuity contract that provides for the first payment of the annuity at the end of the fixed interval of payment after purchase. The interval may vary, however the annuity payouts must begin within 13 months. The amount varies with the value of equities (separate account) purchased as investments by the insurance companies.",,,,,,,,,
Group_Annuities_Unallocated,Group Annuities – Unallocated,Approved,annuity contracts or portions thereof where the Insurer purchases an annuity for the retirees.,,,,,,,,,
Group_Annuity,Group Annuity,Approved,"a contract providing income for a specified period of time, or duration of life for a person or persons established to benefit a group of employees.",,,,,,,,,
Group_Code,Group Code ,Approved,a unique three to five digit number assigned by the NAIC to identify those companies that are part of a larger group of insurance companies.,,,,,,,,,
Group_Credit_Life,Group Credit – Life,Approved,"contracts sold in connection with loan/credit transactions or other credit transactions, which do not exceed a stated duration and/or amount and provide insurance protection against death.",,,,,,,,,
Group_Health,Group Health ,Approved,"health insurance issued to employers, associations, trusts, or other groups covering employees or members and/or their dependents, to whom a certificate of coverage may be provided.",,,,,,,,,
Group_Health_Organizations_Health_Maintenance_HMO,Group Health Organizations – Health Maintenance (HMO),Approved,a plan under which an enrollee pays a membership fixed fee in advance in return for a wide range of comprehensive health care services with the HMO's approved providers in a designated service area.,,,,,,,,,
Guaranty_Fund,Guaranty Fund ,Approved,funding mechanism employed by states to provide funds to cover policyholder obligations of insolvent reporting entities.,,,,,,,,,
Hard_Market,Hard Market,Approved,a market characterized by high demand and low supply.,,,,,,,,,
Hazard,Hazard,Approved,circumstance which tends to increase the probability or severity of a loss.,,,,,,,,,
Health_Excess_Stop_Loss,Health – Excess/Stop Loss,Approved,this type of insurance may be extended to either a health plan or a self-insured employer plan. Its purpose is to insure against the risk that any one claim will exceed a specific dollar amount or that an entire plan's losses will exceed a specific amount.,,,,,,,,,
Health_Insurance,Health Insurance,Approved,a generic term applying to all types of insurance indemnifying or reimbursing for losses caused by bodily injury or illness including related medical expenses.,,,,,,,,,
Health_Maintenance_Organization_HMO,Health Maintenance Organization (HMO) ,Approved,"a medical group plan that provides physician, hospital, and clinical services to participating members in exchange for a periodic flat fee.",,,,,,,,,
Health_Plan,Health Plan ,Approved,"written promise of coverage given to an individual, family, or group of covered individuals, where a beneficiary is entitled to receive a defined set of health care benefits in exchange for a defined consideration, such as a premium.",,,,,,,,,
Hold_Harmless_Agreement,Hold-Harmless Agreement,Approved,A risk transfer mechanism whereby one party assumes the liability of another party by contract,,,,,,,,,
Homeowners_Insurance,Homeowners Insurance,Approved,"a package policy combining real and personal property coverage with personal liability coverage. Coverage applicable to the dwelling, appurtenant structures, unscheduled personal property and additional living expense are typical. Includes mobile homes at a fixed location.",,,,,,,,,
Hospital_Indemnity_Coverage,Hospital Indemnity Coverage ,Approved,"coverage that provides a pre-determined, fixed benefit or daily indemnity for contingencies based on a stay at a hospital or intensive care facility.",,,,,,,,,
Hull_Insurance,Hull Insurance,Approved,coverage for damage to a vessel or aircraft and affixed items.,,,,,,,,,
Incontestability_Provision,Incontestability Provision,Approved,a life insurance and annuity provision limiting the time within which the insurer has the legal right to void the contract on grounds of material misrepresentation in the policy application.,,,,,,,,,
Incurred_But_Not_Reported_IBNR,Incurred But Not Reported (IBNR) ,Approved,(Pure IBNR) claims that have occurred but the insurer has not been notified of them at the reporting date. Estimates are established to book these claims. May include losses that have been reported to the reporting entity but have not yet been entered into the claims system or bulk provisions. Bulk provisions are reserves included with other IBNR reserves to reflect deficiencies in known case reserves. IBNR can sometimes include estimates of incurred but Not Enough Reported (IBNER),,,,,,,,,
Incurred_Claims,Incurred Claims ,Approved,paid claims plus amounts held in reserve for those that have been incurred but not yet paid.,,,,,,,,,
Incurred_Losses,Incurred Losses,Approved,"sustained losses, paid or not, during a specified time period. Incurred losses are typically found by combining losses paid during the period plus unpaid losses sustained during the time period minus outstanding losses at the beginning of the period incurred in the previous period.",,,,,,,,,
"Indemnity,_Principle_of","Indemnity, Principle of",Approved,a general legal principle related to insurance that holds that the individual recovering under an insurance policy should be restored to the approximate financial position he or she was in prior to the loss. Legal principle limiting compensation for damages be equivalent to the losses incurred.,,,,,,,,,
Independent_Adjuster,Independent Adjuster,Approved,freelance contractor paid a fee for adjusting losses on behalf of companies.,,,,,,,,,
Independent_Agent,Independent Agent,Approved,a representative of multiple insurance companies who sells and services policies for records which they own and operate under the American Agency System.,,,,,,,,,
Independent_Contractor,Independent Contractor,Approved,an individual who is not employed for a company but instead works for themselves providing goods or services to clients for a fee.,,,,,,,,,
Index_Annuity,Index Annuity,Approved,"an interest bearing fixed annuity tied to an equity index, such as the Dow Jones Industrial Average or S & P 500.",,,,,,,,,
Individual_Annuities_Deferred_Variable,Individual Annuities – Deferred Variable,Approved,an annuity contract that provides an accumulation based fund where the accumulation varies in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. Must include at least one option to have the accumulation vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder and may include at least one option to have the series of payments vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. This annuity contract provides for the initiation of payments at some designated future date.,,,,,,,,,
Individual_Annuities_Immediate_Variable,Individual Annuities – Immediate Variable,Approved,"an annuity contract that provides for the first payment of the annuity at the end of the fixed interval of payment after purchase. The interval may vary, however the annuity payouts must begin within 13 months. The amount varies with the value of equities (separate account) purchased as investments by the insurance companies.",,,,,,,,,
Individual_Annuities_Special,Individual Annuities – Special,Approved,contracts with certain noteworthy attributes.,,,,,,,,,
Individual_Annuities_Deferred_Non_Variable_and_Variable,Individual Annuities- Deferred Non-Variable and Variable,Approved,"an annuity contract that provides an accumulation based on both (1) funds that accumulate based on a guaranteed crediting interest rates or additional interest rate applied to designated considerations, and (2) funds where the accumulation vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. The contract provides for the initiation of payments at some designated future date.",,,,,,,,,
Individual_Annuities_Deferred_Non_Variable,Individual Annuities- Deferred Non-Variable,Approved,an annuity contract that provides an accumulation based on funds that accumulate based on a guaranteed crediting interest rate or additional interest rate. This annuity contract provides for the initiation of payments at some designated future date.,,,,,,,,,
Individual_Annuities_Immediate_Non_Variable_and_Variable,Individual Annuities- Immediate Non-Variable and Variable,Approved,"an annuity contract that provides an accumulation based on both (1) funds that accumulate based on a guaranteed crediting interest rates or additional interest rate applied to designated considerations, and (2) funds where the accumulation vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. The contract provides for the initiation of payments at some interval that may vary, however the annuity payouts must begin within 13 months.",,,,,,,,,
Individual_Annuities_Immediate_Non_Variable,Individual Annuities- Immediate Non-Variable,Approved,"an annuity contract that provides for the fixed payment of the annuity at the end of the first interval of payment after purchase. The interval may vary, however the annuity payouts must begin within 13 months.",,,,,,,,,
Individual_Credit_Credit_Disability,Individual Credit – Credit Disability,Approved,makes monthly loan/credit transaction payments to the creditor upon the disablement of an insured debtor.,,,,,,,,,
Individual_Credit_Life,Individual Credit – Life,Approved,"contracts sold in connection with loan/credit transactions or other credit transactions, which do not exceed a stated duration and/or amount and provide insurance protection against death.",,,,,,,,,
Individual_Health,Individual Health,Approved,health insurance where the policy is issued to an individual covering the individual and/or their dependents in the individual market. This includes conversions from group policies.,,,,,,,,,
Industrial_Life,Industrial Life ,Approved,"Industrial life insurance, also called ""debit"" insurance, is insurance under which premiums are paid monthly or more often, the face amount of the policy does not exceed a stated amount, and the words ""industrial policy"" are printed in prominent type on the face of the policy.",,,,,,,,,
Inland_Marine,Inland Marine,Approved,"coverage for property that may be in transit, held by a bailee, at a fixed location, a movable good that is often at different locations (e.g., off road constructions equipment), or scheduled property (e.g., Homeowners Personal Property Floater) including items such as live animals, property with antique or collector's value, etc. This line also includes instrumentalities of transportation and communication, such as bridges, tunnels, piers, wharves, docks, pipelines, power and phone lines, and radio and television towers.",,,,,,,,,
Insurable_Interest,Insurable Interest,Approved,"A right or relationship in regard to the subject matter of the insured contract such that the insured can suffer a financial loss from damage, loss or destruction to it. (Bickelhaupt and Magee )",,,,,,,,,
Insurance_Holding_Company_System,Insurance Holding Company System ,Approved,"consists of two or more affiliated persons, one or more of which is an insurer.",,,,,,,,,
Insurance_Regulatory_Information_System_IRIS,Insurance Regulatory Information System (IRIS),Approved,a baseline solvency screening system for the National Association of Insurance Commissioners (NAIC) and state insurance regulators established in the mid-1970s.,,,,,,,,,
Insurance_to_Value,Insurance to Value,Approved,Amount of insurance purchased vs. the actual replacement cost of the insured property expressed as a ratio.,,,,,,,,,
Insurance,Insurance,Approved,an economic device transferring risk from an individual to a company and reducing the uncertainty of risk via pooling.,,,,,,,,,
Insured,Insured,Approved,party(ies) covered by an insurance policy.,,,,,,,,,
Insurer,Insurer,Approved,an insurer or reinsurer authorized to write property and/or casualty insurance under the laws of any state.,,,,,,,,,
Intermediary,Intermediary,Approved,"a person, corporation or other business entity (not licensed as a medical provider) that arranges, by contracts with physicians and other licensed medical providers, to deliver health services for a health insurer and its enrollees via a separate contract between the intermediary and the insurer.",,,,,,,,,
International,International,Approved,includes all business transacted outside the U.S. and its territories and possessions where the appropriate line of business is not determinable.,,,,,,,,,
Internet_Liability_Insurance_Cyber_Insurance,Internet Liability Insurance/Cyber Insurance,Approved,"coverage for cyber commerce including copyright infringement, libel, and violation of privacy.",,,,,,,,,
Investment_grade,Investment grade,Approved,"the obligation has been determined to be in one of the top four generic lettered rating classifications by a securities rating agency acceptable to the commissioner, that the obligation has been identified in writing by such a rating agency to be of investment grade quality, or, if the obligation has not been submitted to any such rating agency, that the obligation has been determined to be investment grade (Class 1 and Class 2) by the Securities Valuation Office of the National Association of Insurance Commissioners.",,,,,,,,,
Investment_Income_Accrued,Investment Income Accrued ,Approved,investment income earned as of the reporting date but not legally due to be paid to the reporting entity until subsequent to the reporting date.,,,,,,,,,
Investment_Income_Due,Investment Income Due ,Approved,investment income earned and legally due to be paid to the reporting entity as of the reporting date.,,,,,,,,,
Investment_Income_Gross,Investment Income Gross ,Approved,"shall be recorded as earned and shall include investment income collected during the period, the change in investment income due and accrued, the change in unearned investment income plus any amortization (e.g., discounts or premiums on bonds, origination fees on mortgage loans, etc.)",,,,,,,,,
Irrevocable_Beneficiary,Irrevocable Beneficiary,Approved,a life insurance policy beneficiary who has a vested interest in the policy proceeds even during the insured's lifetime because the policy owner has the right to change the beneficiary designation only after obtaining the beneficiary's consent.,,,,,,,,,
Joint_and_Last_Survivor_Annuity,Joint and Last Survivor Annuity,Approved,"retirement plan that continues to payout so long as at least one, of two or more, annuitants is alive.",,,,,,,,,
Joint_Underwriting_Association_JUA,Joint Underwriting Association (JUA),Approved,a loss-sharing mechanism combining several insurance companies to provide extra capacity due to type or size of exposure.,,,,,,,,,
Joint_Life_Annuity,Joint-Life Annuity,Approved,an annuity contract that ceases upon the death of the first of two or more annuitants.,,,,,,,,,
Key_Persons_Insurance,Key-Persons Insurance,Approved,"a policy purchased by, for the benefit of, a business insuring the life or lives of personnel integral to the business operations.",,,,,,,,,
Kidnap_Ransom_Insurance,Kidnap/Ransom Insurance,Approved,coverage for ransom or extortion costs and related expenses.,,,,,,,,,
Lapse,Lapse,Approved,termination of a policy due to failure to pay the required renewal premium.,,,,,,,,,
Level_Premium_Insurance,Level Premium Insurance,Approved,"life insurance policy for which the cost is equally distributed over the term of the premium period, remaining constant throughout.",,,,,,,,,
Liability,Liability,Approved,"a certain or probable future sacrifice of economic benefits arising from present obligations of a particular entity to transfer assets or to provide services to other entities in the future as a result of a past transactions(s) or event(s). three essential characteristics: a)&nbsp;&nbsp;&nbsp; It embodies a present duty or responsibility to one or more other entities that entails settlement by probable future transfer or use of assets at a specified or determinable date, on occurrence of a specified event, or on demand; b)&nbsp;&nbsp;&nbsp; The duty or responsibility obligates a particular entity, leaving it little or no discretion to avoid the future sacrifice; and c)&nbsp;&nbsp;&nbsp; The transaction or other event obligating the entity has already happened.",,,,,,,,,
Life_Endowment,Life – Endowment,Approved,"insurance that pays the same benefit amount should the insured die during the term of the contract, or if the insured survives to the end of the specified coverage term or age.",,,,,,,,,
Life_Flexible_Premium_Adjustable_Life,Life – Flexible Premium Adjustable Life,Approved,"a group life insurance that provides a face amount that is adjustable to the certificate holder and allows the certificate holder to vary the modal premium that is paid or to skip a payment so long as the certificate value is sufficient to keep the certificate in force, and under which separately identified interest credits (other than in connection with dividend accumulation, premium deposit funds or other supplementary accounts) and mortality and expense charges are made to individual certificates while providing minimum guaranteed values.",,,,,,,,,
Life_Settlements,Life Settlements,Approved,a contract or agreement in which a policyholder agrees to sell or transfer ownership in all or part of a life insurance policy to a third party for compensation that is less than the expected death benefit of a policy.,,,,,,,,,
Lifetime_Disability_Benefit,Lifetime Disability Benefit,Approved,a provision in some disability income policies to recoup lost wages for the term of disability or remainder of insured's life in case of permanent disability.,,,,,,,,,
Limited_Benefit,Limited Benefit,Approved,"policies that provide coverage for vision, prescription drug, and/or any other single service plan or program. Also include short-term care policies that provide coverage for less than one year for medical and other services provided in a setting other than an acute care unit of the hospital.",,,,,,,,,
Limited_Payment_Life_Insurance,Limited Payment Life Insurance,Approved,a form of whole-life insurance with a pre-defined number of premiums to be paid.,,,,,,,,,
Limited_Policies,Limited Policies,Approved,"health insurance coverage for a certain ailment, such as cancer.",,,,,,,,,
Limits,Limits,Approved,maximum value to be derived from a policy.,,,,,,,,,
Line_of_Business,Line of Business ,Approved,classification of business written by insurers.,,,,,,,,,
Liquor_Liability,Liquor Liability,Approved,"coverage for the liability of an entity involved in the retail or wholesale sales of alcoholic beverages, or the serving of alcoholic beverages, to persons who have incurred bodily injury or property damage arising from an intoxicated person.",,,,,,,,,
Living_benefits_rider,Living benefits rider,Approved,a rider attached to a life insurance policy providing long term care for the terminally ill.,,,,,,,,,
Lloyds_of_London,Lloyd's of London,Approved,association offering membership in various syndicates of wealthy individuals organized for the purpose of writing insurance for a particular hazard.,,,,,,,,,
Loan_backed_Securities,Loan-backed Securities ,Approved,"pass-through certificates, collateralized mortgage obligations (CMOs), and other securitized loans not included in structured securities where payment of interest and/or principal is directly proportional to the interest and/or principal received by the issuer from the mortgage pool or other underlying securities.",,,,,,,,,
Long_Duration_Contracts,Long Duration Contracts,Approved,"contracts, excluding financial guaranty contracts, mortgage guaranty contracts and surety contracts, that fulfill both of the following conditions: (1) the contract term is greater than or equal to thirteen months and (2) the insurer can neither cancel nor increase the premium during the contract term.",,,,,,,,,
Long_Term_Care,Long-Term Care,Approved,"policies that provide coverage for not less than one year for diagnostic, preventive, therapeutic, rehabilitative, maintenance, or personal care services provided in a setting other than an acute care unit of a hospital, including policies that provide benefits for cognitive impairment or loss of functional capacity. This includes policies providing only nursing home care, home health care, community based care, or any combination. The policy does not include coverage provided under comprehensive/major medical policies, Medicare Advantage, or for accelerated heath benefit-type products.",,,,,,,,,
Long_Term_Disability_Income_Insurance,Long-Term Disability Income Insurance,Approved,"policy providing monthly income payments for insureds who become disabled for an extensive length of time, typically two years or longer.",,,,,,,,,
Loss_Adjustment_Expense_LAE,Loss Adjustment Expense (LAE) ,Approved,expected payments for costs to be incurred in connection with the adjustment and recording of losses. Can be classified into two broad categories: Defense and Cost Containment (DCC) and Adjusting and Other (AO). Can also be separated into (Allocated Loss Adjustment Expense) and (Unallocated Loss Adjustment Expense for ratemaking purposes.,,,,,,,,,
Loss_Frequency,Loss Frequency,Approved,incidence of claims on a policy during a premium period.,,,,,,,,,
Loss_of_Use_Insurance,Loss of Use Insurance,Approved,policy providing protection against loss of use due to damage or destruction of property.,,,,,,,,,
Loss_Payable_Clause,Loss Payable Clause,Approved,"coverage for third party mortgagee in case of default on insured property, secured by a loan, that has been lost or damaged.",,,,,,,,,
Loss_Ratio,Loss Ratio,Approved,the percentage of incurred losses to earned premiums.,,,,,,,,,
Loss_Reserve,Loss Reserve ,Approved,the amount that insurers set aside to cover claims incurred but not yet paid.,,,,,,,,,
